"","Regio's","x 1 000","%","1 000 euro...4","1 000 euro...5","1 000 euro...6","1 000 euro...7"
"1","Groningen (PV)",2829,100,233,213,322,273
"2","Fryslân (PV)",2846,100,251,230,357,312
"3","Drenthe (PV)",2115,100,263,240,377,332
"4","Overijssel (PV)",4834,100,258,236,376,329
"5","Flevoland (PV)",1639,100,266,244,392,347
"6","Gelderland (PV)",8802,100,267,243,385,334
"7","Utrecht (PV)",5758,100,290,259,416,349
"8","Noord-Holland (PV)",12965,100,285,247,398,319
"9","Zuid-Holland (PV)",16165,100,273,241,386,317
"10","Zeeland (PV)",1701,100,272,247,385,334
"11","Noord-Brabant (PV)",10939,100,275,249,396,340
"12","Limburg (PV)",5093,100,260,236,366,314
"13","Bron: CBS",NA,NA,NA,NA,NA,NA
